Hospital Number,Hospital City
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
2008,Columbus
2008,Columbus
2008,Columbus
2008,Columbus
2008,Columbus
2005,Orange
2005,Orange
2005,Orange
2005,Orange
2005,Orange
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
1001,San Diego
2029,Phoenix
2029,Phoenix
2029,Phoenix
2029,Phoenix
2029,Phoenix
2029,Phoenix
2029,Phoenix
2001,Madera
2001,Madera
2001,Madera
2001,Madera
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2027,Dallas
2018,Los Angeles
2018,Los Angeles
2018,Los Angeles
2018,Los Angeles
2018,Los Angeles
2018,Los Angeles
2018,Los Angeles
2018,Los Angeles
2018,Los Angeles
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2023,Minneapolis - St. Paul
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
1010,Pittsburgh
2001,Madera
2001,Madera
2001,Madera
2001,Madera
2001,Madera
2001,Madera
2001,Madera
2001,Madera
2001,Madera
2028,Oakland
2028,Oakland
2028,Oakland
2028,Oakland
2008,Columbus
2008,Columbus
2008,Columbus
2008,Columbus
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2022,Philadelphia
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2037,Indianapolis
2002,Norfolk
2002,Norfolk
2002,Norfolk
2002,Norfolk
2002,Norfolk
2002,Norfolk
2002,Norfolk
2002,Norfolk
2005,Orange
2005,Orange
2005,Orange
2005,Orange
2005,Orange
2005,Orange
2005,Orange
2005,Orange
2005,Orange
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
2016,Cincinnati
1001,San Diego
